date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-07-18,1284.6000,19.3760,49.9200,25.7800,,21.2900,3.7600,90.1700,6.5680,8437.25,127.26,0.5243,-0.1700,-1.4802,0.1813,,1.4293,-3.3916,0.0444,-0.2671
2013-07-19,1293.3000,19.4480,50.6000,26.0267,,21.2300,3.7850,92.2300,,,,0.6773,0.3716,1.3622,0.9568,,-0.2818,0.6649,2.2846,0.8034
2013-07-22,1336.4000,20.4980,50.6300,25.9567,,21.9800,3.7790,92.2800,6.4819,8662.41,132.87,3.3326,5.3990,0.0593,-0.2690,,3.5327,-0.1585,0.0542,1.8709
2013-07-23,1335.1000,20.2460,50.9900,26.1833,,21.2200,3.7610,92.4200,6.4474,8607.92,130.53,-0.0973,-1.2294,0.7110,0.8732,,-3.4577,-0.4763,0.1517,-0.3213
2013-07-24,1319.7000,20.0140,52.5500,26.0767,,21.0900,3.6890,92.3600,6.5128,8594.94,130.35,-1.1535,-1.1459,3.0594,-0.4074,,-0.6126,-1.9144,-0.0649,-0.2696
2013-07-25,1329.0000,20.1470,52.5900,26.0033,,21.2400,3.6900,92.5700,6.4790,8610.59,130.53,0.7047,0.6645,0.0761,-0.2812,,0.7112,0.0271,0.2274,0.3323
2013-07-26,1321.7000,19.7650,53.3600,26.0000,,21.3200,3.6780,92.8300,,,,-0.5493,-1.8961,1.4642,-0.0128,,0.3766,-0.3252,0.2809,-0.0933
2013-07-29,1328.4000,19.8540,53.5600,25.9967,,20.5900,3.6590,93.2100,6.4732,8599.07,128.52,0.5069,0.4503,0.3748,-0.0128,,-3.4240,-0.5166,0.4093,-0.1536
2013-07-30,1324.0000,19.6660,53.3200,25.9633,,20.7400,3.6850,93.1700,6.5503,8672.58,128.82,-0.3312,-0.9469,-0.4481,-0.1282,,0.7285,0.7106,-0.0429,-0.1441
2013-07-31,1312.4000,19.6170,53.1100,25.9800,,20.3200,3.6680,93.5000,6.4970,8526.65,127.45,-0.8761,-0.2492,-0.3938,0.0642,,-2.0251,-0.4613,0.3542,-0.5735
2013-08-01,1311.0000,19.6150,53.5000,26.0733,,19.8300,3.7400,93.7700,6.6030,8656.53,129.52,-0.1067,-0.0102,0.7343,0.3593,,-2.4114,1.9629,0.2888,0.0991
2013-08-02,1310.6000,19.9030,53.8800,26.2500,,19.8100,3.7490,94.3900,,,,-0.0305,1.4683,0.7103,0.6776,,-0.1009,0.2406,0.6612,0.4429
2013-08-05,1302.6000,19.7110,53.8700,26.2567,,19.5600,3.7020,93.8000,6.5811,8572.50,129.72,-0.6104,-0.9647,-0.0186,0.0254,,-1.2620,-1.2537,-0.6251,-0.5829
2013-08-06,1283.2000,19.5150,53.3200,25.9567,,19.3200,3.6860,93.8100,6.5494,8404.19,127.81,-1.4893,-0.9944,-1.0210,-1.1426,,-1.2270,-0.4322,0.0107,-1.0636
2013-08-07,1286.1000,19.4980,53.6200,25.7900,,19.2500,3.7290,93.6600,6.5113,8374.18,126.96,0.2260,-0.0871,0.5626,-0.6421,,-0.3623,1.1666,-0.1599,0.1056
2013-08-08,1310.7000,20.1840,53.5700,25.7500,,19.7200,3.7320,93.3400,6.4884,8504.35,130.96,1.9128,3.5183,-0.0932,-0.1551,,2.4416,0.0805,-0.3417,1.1374
2013-08-09,1312.9000,20.3990,54.1800,25.6333,,19.6700,3.6830,92.3600,,,,0.1679,1.0652,1.1387,-0.4531,,-0.2535,-1.3130,-1.0499,0.0498
2013-08-12,1334.7000,21.3320,54.0500,25.6933,,19.7600,3.7700,92.0000,6.5277,8712.56,139.25,1.6604,4.5738,-0.2399,0.2341,,0.4576,2.3622,-0.3898,1.2295
2013-08-13,1321.2000,21.3360,54.9600,25.6200,,19.8300,3.8020,93.0100,6.5319,8630.01,139.37,-1.0115,0.0187,1.6836,-0.2854,,0.3542,0.8488,1.0978,0.1516
2013-08-14,1334.0000,21.7810,54.2000,25.4667,,19.9600,3.7220,90.7000,6.5046,8677.15,141.68,0.9688,2.0857,-1.3828,-0.5985,,0.6556,-2.1042,-2.4836,-0.1325
2013-08-15,1361.6000,22.9290,53.3900,24.8033,,19.9400,3.6020,89.5500,6.5079,8861.20,149.22,2.0690,5.2707,-1.4945,-2.6047,,-0.1002,-3.2241,-1.2679,0.0591
2013-08-16,1371.7000,23.3170,52.8600,24.7033,,19.7600,3.6250,89.3700,,,,0.7418,1.6922,-0.9927,-0.4032,,-0.9027,0.6385,-0.2010,0.1116
2013-08-19,1366.2000,23.1610,52.7900,24.5267,,19.3300,3.6250,90.4500,6.5060,8888.47,150.68,-0.4010,-0.6690,-0.1324,-0.7152,,-2.1761,0.0000,1.2085,-0.4882
2013-08-20,1373.1000,23.0660,52.8000,24.4100,,19.6600,3.6790,89.7300,6.4869,8907.15,149.63,0.5051,-0.4102,0.0189,-0.4757,,1.7072,1.4897,-0.7960,0.3042
